item_id,order_id,product_id,quantity,item_amount
1,1,432,1,10172.45
2,2,432,1,10172.45
3,2,338,1,211.56
4,3,432,1,10172.45
5,3,338,2,423.13
6,3,266,5,133.51
7,4,432,1,10172.45
8,4,338,1,211.56
9,4,266,3,80.1
10,4,6,1,15204.66
11,5,6,2,30409.31
12,5,266,6,160.21
13,5,302,2,402.0
14,5,432,1,10172.45
15,5,338,2,423.13
16,6,235,3,234.16
17,7,201,1,14365.38
18,7,235,4,312.21
19,8,201,2,28730.76
20,8,235,5,390.26
21,8,68,1,5316.28
22,9,73,6,916.51
23,10,8,2,3842.49
24,10,73,4,611.01
25,11,8,2,3842.49
26,11,73,6,916.51
27,11,5,1,76.89
28,12,8,2,3842.49
29,12,73,6,916.51
30,12,3,1,912.96
31,12,5,1,76.89
32,13,5,3,168.25
33,14,1,2,2926.65
34,14,5,2,112.17
35,15,1,2,3335.39
36,16,1,1,1667.69
37,17,1,1,2010.04
38,18,249,2,7150.42
39,19,249,1,3575.21
40,19,3,2,1771.83
41,20,249,2,7150.42
42,20,3,1,885.91
43,20,23,2,32290.22
44,21,11,1,1845.31
45,21,249,2,7150.42
46,21,3,1,885.91
47,21,23,2,32290.22
48,22,2,1,8497.18
49,22,3,1,885.91
50,22,11,2,3690.62
51,22,23,2,32290.22
52,22,249,1,3575.21
53,23,25,2,809.64
54,24,25,2,809.64
55,24,1,2,3236.97
56,25,8,1,1549.91
57,25,25,2,809.64
58,25,1,1,1618.48
59,26,8,2,3099.82
60,26,25,1,404.82
61,26,5,1,62.03
62,26,1,2,3236.97
63,27,3,1,679.6
64,28,3,1,679.6
65,28,292,2,15980.21
66,29,3,2,1359.2
67,29,292,2,15980.21
68,29,493,2,2599.2
69,30,184,4,695.76
70,30,3,1,679.6
71,30,292,2,15980.21
72,30,493,1,1299.6
73,31,1,1,1706.6
74,32,4,6,167.58
75,33,424,2,672.56
76,33,4,5,139.65
77,34,424,2,672.56
78,34,4,6,167.58
79,34,207,1,2214.87
80,35,424,1,336.28
81,35,100,2,16021.98
82,35,4,5,139.65
83,35,207,2,4429.74
84,36,2,2,17974.56
85,37,2,2,17974.56
86,37,295,3,2392.26
87,38,1,1,2059.1
88,38,2,1,8987.28
89,38,295,2,1594.84
