order_id,user_id,order_date,total_amount,order_status
1,1,2025-06-06 20:24:50,10172.45,已完成
2,1,2025-06-06 20:24:50,10384.01,已完成
3,1,2025-06-06 20:24:50,10729.09,已完成
4,1,2025-06-06 20:24:50,25668.77,已完成
5,1,2025-06-06 20:24:50,41567.1,已完成
6,2,2025-10-16 22:16:10,234.16,已完成
7,2,2025-10-16 22:16:10,14677.59,已完成
8,2,2025-10-16 22:16:10,34437.3,已完成
9,3,2025-12-25 15:13:05,91.65,已取消
10,3,2025-12-25 15:13:05,445.35,已取消
11,3,2025-12-25 15:13:05,483.59,已取消
12,3,2025-12-25 15:13:05,574.89,已取消
13,4,2024-09-06 20:19:35,168.25,已完成
14,4,2024-09-06 20:19:35,3038.82,已完成
15,5,2024-11-01 07:30:55,333.54,已取消
16,5,2024-11-01 07:30:55,166.77,已取消
17,6,2024-07-09 17:48:45,2010.04,已支付
18,7,2024-10-12 20:37:19,715.04,已取消
19,7,2024-10-12 20:37:19,534.7,已取消
20,7,2024-10-12 20:37:19,4032.66,已取消
21,7,2024-10-12 20:37:19,4217.19,已取消
22,7,2024-10-12 20:37:19,4893.91,已取消
23,8,2024-11-09 13:42:36,809.64,已完成
24,8,2024-11-09 13:42:36,4046.61,已完成
25,8,2024-11-09 13:42:36,3978.03,已完成
26,8,2024-11-09 13:42:36,6803.64,已完成
27,9,2025-01-17 23:07:43,679.6,已完成
28,9,2025-01-17 23:07:43,16659.81,已完成
29,9,2025-01-17 23:07:43,19938.61,已完成
30,9,2025-01-17 23:07:43,18655.17,已完成
31,10,2025-01-03 17:41:11,1706.6,已完成
32,11,2024-11-28 12:01:33,16.76,已取消
33,11,2024-11-28 12:01:33,81.22,已取消
34,11,2024-11-28 12:01:33,305.5,已取消
35,11,2024-11-28 12:01:33,2092.77,已取消
36,12,2024-07-01 20:16:58,17974.56,已完成
37,12,2024-07-01 20:16:58,20366.82,已完成
38,12,2024-07-01 20:16:58,12641.22,已完成
39,12,2024-07-01 20:16:58,14423.95,已完成
40,12,2024-07-01 20:16:58,39907.02,已完成
41,13,2025-10-28 21:33:09,1177.26,已完成
42,13,2025-10-28 21:33:09,2163.03,已完成
43,13,2025-10-28 21:33:09,4231.89,已完成
44,13,2025-10-28 21:33:09,3278.29,已完成
45,13,2025-10-28 21:33:09,11643.01,已完成
46,14,2024-12-04 05:11:57,901.64,已完成
47,15,2025-06-13 23:46:46,834.01,已完成
48,15,2025-06-13 23:46:46,1828.09,已完成
49,15,2025-06-13 23:46:46,19126.05,已完成
50,16,2024-07-05 22:07:17,9.82,已取消
51,16,2024-07-05 22:07:17,378.15,已取消
52,17,2026-03-22 12:45:08,4285.89,已支付
53,17,2026-03-22 12:45:08,4592.6,已支付
54,18,2025-04-22 14:45:18,1130.32,已支付
55,19,2025-03-07 19:51:30,273.05,已完成
56,19,2025-03-07 19:51:30,8332.39,已完成
57,20,2024-08-24 20:12:36,12928.57,已完成
58,20,2024-08-24 20:12:36,8488.9,已完成
59,20,2024-08-24 20:12:36,26275.24,已完成
60,20,2024-08-24 20:12:36,43065.99,已完成
61,20,2024-08-24 20:12:36,43228.05,已完成
62,21,2026-05-09 20:16:07,79.12,已完成
63,21,2026-05-09 20:16:07,18238.04,已完成
64,22,2025-10-07 18:18:47,22199.22,已完成
65,22,2025-10-07 18:18:47,26669.8,已完成
66,22,2025-10-07 18:18:47,26193.88,已完成
67,23,2025-03-07 06:50:21,1725.98,已完成
68,23,2025-03-07 06:50:21,21782.45,已完成
69,23,2025-03-07 06:50:21,21828.84,已完成
70,23,2025-03-07 06:50:21,46299.87,已完成
71,23,2025-03-07 06:50:21,52994.48,已完成
72,24,2025-08-20 10:47:07,835.23,已取消
73,24,2025-08-20 10:47:07,2483.22,已取消
74,24,2025-08-20 10:47:07,2490.55,已取消
75,25,2025-01-15 23:07:46,188.29,已完成
76,26,2025-02-08 02:36:47,14872.68,已完成
77,26,2025-02-08 02:36:47,26829.26,已完成
78,27,2024-12-01 08:12:36,6364.77,已完成
79,27,2024-12-01 08:12:36,8265.7,已完成
80,27,2024-12-01 08:12:36,48352.57,已完成
81,28,2025-03-04 21:19:34,9624.95,已完成
82,29,2026-05-05 10:50:32,605.45,已取消
83,29,2026-05-05 10:50:32,796.7,已取消
84,29,2026-05-05 10:50:32,4293.0,已取消
85,29,2026-05-05 10:50:32,3217.05,已取消
86,30,2025-11-24 18:17:42,2130.59,已完成
87,30,2025-11-24 18:17:42,4342.83,已完成
88,30,2025-11-24 18:17:42,4424.49,已完成
89,31,2024-12-24 18:43:57,39471.45,已完成
90,31,2024-12-24 18:43:57,19806.86,已完成
91,31,2024-12-24 18:43:57,39613.72,已完成
92,32,2025-01-15 19:56:08,15063.65,已完成
93,32,2025-01-15 19:56:08,15304.91,已完成
94,32,2025-01-15 19:56:08,15678.45,已完成
95,32,2025-01-15 19:56:08,11517.79,已完成
96,32,2025-01-15 19:56:08,26907.84,已完成
97,33,2024-07-26 10:37:45,131.51,已支付
98,33,2024-07-26 10:37:45,1010.58,已支付
99,33,2024-07-26 10:37:45,18239.75,已支付
100,33,2024-07-26 10:37:45,9951.42,已支付
101,33,2024-07-26 10:37:45,9979.87,已支付
102,34,2024-11-02 12:17:22,1578.67,已完成
103,34,2024-11-02 12:17:22,16752.79,已完成
104,34,2024-11-02 12:17:22,15266.76,已完成
105,35,2025-05-20 15:27:26,1553.82,已支付
106,35,2025-05-20 15:27:26,16339.86,已支付
107,35,2025-05-20 15:27:26,16179.92,已支付
108,36,2025-07-17 18:25:25,17347.6,已完成
109,36,2025-07-17 18:25:25,41854.58,已完成
110,36,2025-07-17 18:25:25,24695.57,已完成
111,36,2025-07-17 18:25:25,42230.75,已完成
112,36,2025-07-17 18:25:25,33520.89,已完成
113,37,2025-01-16 13:12:55,1410.22,已完成
114,38,2026-04-23 19:25:32,11297.74,已完成
